web-scraper-order,web-scraper-start-url,articles-link,articles-link-href,title-selector,summary-selector,whole-article-selector
"1751563710-1","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","Webb’s new view focuses on the illuminated edge of the nebula’s distinctive structure.",""
"1751563710-2","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","The Horsehead Nebula is prancing across the cosmic stage in new infrared views from NASA’s James Webb Space Telescope. Extreme close-ups of the horse’s “mane” from Webb’s Near-Infrared Camera (NIRCam) and Mid-Infrared Instrument (MIRI) showcase a dynamic region that transitions from a mostly neutral, warm area of gas and dust within the nebula (represented in blue) to surrounding hot, ionized gas (red). Webb’s observations will allow astronomers to investigate how dust in the nebula blocks and emits light, and to better understand the nebula’s shape.",""
"1751563710-3","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","Lee esta historia en español.",""
"1751563710-4","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","NASA’s James Webb Space Telescope has captured the sharpest infrared images to date of a zoomed-in portion of one of the most distinctive objects in our skies, the Horsehead Nebula. These observations show the top of the ""horse's mane"" or edge of this iconic nebula in a whole new light, capturing the region’s complexity with unprecedented spatial resolution."
"1751563710-5","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","Webb’s new images show part of the sky in the constellation Orion (The Hunter), in the western side of a dense region known as the Orion B molecular cloud. Rising from turbulent waves of dust and gas is the Horsehead Nebula, otherwise known as Barnard 33, which resides roughly 1,300 light-years away."
"1751563710-6","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","The nebula formed from a collapsing interstellar cloud of material, and glows because it is illuminated by a nearby hot star. The gas clouds surrounding the Horsehead have already dissipated, but the jutting pillar is made of thick clumps of material and therefore is harder to erode. Astronomers estimate that the Horsehead has about five million years left before it too disintegrates. Webb’s new view focuses on the illuminated edge of the top of the nebula’s distinctive dust and gas structure."
"1751563710-7","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","The Horsehead Nebula is a well-known photodissociation region, or PDR. In such a region, ultraviolet (UV) light from young, massive stars creates a mostly neutral, warm area of gas and dust between the fully ionized gas surrounding the massive stars and the clouds in which they are born. This UV radiation strongly influences the chemistry of these regions and acts as a significant source of heat."
"1751563710-8","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","These regions occur where interstellar gas is dense enough to remain mostly neutral, but not dense enough to prevent the penetration of UV light from massive stars. The light emitted from such PDRs provides a unique tool to study the physical and chemical processes that drive the evolution of interstellar matter in our galaxy, and throughout the universe from the early era of vigorous star formation to the present day."
"1751563710-9","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","Due to its proximity and its nearly edge-on geometry, the Horsehead Nebula is an ideal target for astronomers to study the physical structures of PDRs and the molecular evolution of the gas and dust within their respective environments, and the transition regions between them. It is considered one of the best regions in the sky to study how radiation interacts with interstellar matter."
"1751563710-10","https://webbtelescope.org/news/news-releases?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","https://webbtelescope.org/contents/news-releases/2024/news-2024-119?itemsPerPage=50&page=1","Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail","","Thanks to Webb’s MIRI and NIRCam instruments, an international team of astronomers has revealed for the first time the small-scale structures of the illuminated edge of the Horsehead. As UV light evaporates the dust cloud, dust particles are swept out away from the cloud, carried with the heated gas. Webb has detected a network of thin features tracing this movement. The observations have also allowed astronomers to investigate how the dust blocks and emits light, and to better understand the multidimensional shape of the nebula."
