title,summary
NASA's Webb Measures the Temperature of a Rocky Exoplanet,"The amount of infrared light coming from TRAPPIST-1 b suggests that the planet is devoid of any significant atmosphere. Acting as a giant touch-free thermometer, NASA’s James Webb Space Telescope has successfully measured heat radiating from the innermost of the seven rocky planets orbiting TRAPPIST-1, a cool red dwarf star 40 light-years from Earth. With a dayside temperature of 450 degrees Fahrenheit, the planet is just about perfect for baking pizza. But with no atmosphere to speak of, it may not be the best spot to dine out. The result is the first from a comprehensive set of Webb studies of the TRAPPIST-1 system, and marks an important step in determining whether planets orbiting tiny but violent red dwarfs, the most common type of star in the Galaxy, can sustain atmospheres needed to support life."
NASA’s Webb Scores Another Ringed World with New Image of Uranus,"Webb's infrared image highlights the planet's dramatic rings and dynamic atmosphere. The planet Uranus is an oddball in our solar system, tilted on its side as it orbits the sun, causing extreme seasons. While the planet’s atmosphere appeared nearly featureless when visited by the Voyager 2 spacecraft in 1986, subsequent observations from the ground and in space have shown turbulent storms."
Webb Reveals Never-Before-Seen Details in Cassiopeia A,"Glowing dust and elements display complex structures that are challenging for scientists to explain. The explosion of a star is a dramatic event, but the remains that the star leaves behind can be even more dramatic. A new mid-infrared image from NASA’s James Webb Space Telescope provides one stunning example. It shows the supernova remnant Cassiopeia A (Cas A), created by a stellar explosion 340 years ago from Earth's perspective. The image displays vivid colors and intricate structures begging to be examined more closely. Cas A is the youngest known remnant from an exploding, massive star in our galaxy, offering astronomers an opportunity to perform stellar forensics to understand the star’s death."
Webb Captures the Spectacular Galactic Merger Arp 220,"A Dazzling Display of Star Birth Captured in Infrared A stunning smash-up of two spiral galaxies shines in infrared with the light of more than a trillion suns. Collectively called Arp 220, the colliding galaxies ignited a tremendous burst of star birth. Each of the combining galactic cores is encircled by a rotating, star-forming ring blasting out the glaring light that Webb captured in infrared. This brilliant light creates a prominent, spiked, starburst feature."
Webb Reveals Early-Universe Prequel to Huge Galaxy Cluster,"Protocluster Confirmed, 650 Million Years after the Big Bang How did we get here? This fundamental question may be applied on its grandest scale in cosmology, which investigates the history and origin of the universe. Astronomers are able to investigate the early universe and its development like never before with NASA’s James Webb Space Telescope, including the first galaxies."
"Webb Finds Water Vapor, But From a Rocky Planet or Its Star?","More observations will be needed to determine if exoplanet GJ 486 b has an atmosphere. GJ 486 b is about 30% larger than the Earth and three times as massive, which means it is a rocky world with stronger gravity than Earth. It orbits a red dwarf star in just under 1.5 Earth days. It is too close to its star to be within the habitable zone, with a surface temperature of about 800 degrees Fahrenheit. And yet, Webb observations show hints of water vapor."
Webb Looks for Fomalhaut's Asteroid Belt and Finds Much More,"Nearby Planetary System Seen in Breathtaking Detail A new Webb Space Telescope image of the bright, nearby star Fomalhaut reveals its planetary system with details never seen before, including nested concentric rings of dust. These belts most likely are carved by the gravitational forces produced by embedded, unseen planets. Similarly, inside our solar system Jupiter corrals the asteroid belt of leftover debris that lies between us and the giant planet. Astronomers first discovered Fomalhaut’s disk in 1983. But there has never been a view as spectacular – or as revealing – as Webb’s."
"NASA's Webb Finds Water, and a New Mystery, in Rare Main Belt Comet","The James Webb Space Telescope’s latest discovery is a tale of two detections. Solar system scientists took NASA’s James Webb Space Telescope on a treasure hunt in the asteroid belt, and what they didn’t find turned out to be as significant as what they did. If a spectrum of possible chemical compounds serves as a map of what to look for, X marked the spot of water vapor on Comet Read – a long-sought clue in the larger mystery of how Earth’s liquid water, and consequently life, first came to be. However, carbon dioxide was missing from the map, though it is present in all other comets. So in addition to continuing to pursue the history of ancient water in the solar system, scientists have an unexpected new quest on their hands, and will be hunting for answers in our cosmic backyard."
Webb Maps Surprisingly Large Plume Jetting From Saturn’s Moon Enceladus,"Interaction between moon’s plumes and Saturn’s ring system explored with Webb. Enceladus—a tiny, icy moon of Saturn—is one of the most intriguing objects in the search for signs of life beyond our own planet."
"Early Universe Crackled With Bursts of Star Formation, Webb Shows","Webb also continues to uncover a bounty of distant, young galaxies With its large, light-gathering mirror and infrared sensitivity, NASA’s James Webb Space Telescope (JWST) is uniquely suited to study galaxies that existed in the early universe, just a few hundred million years after the big bang. Just over one whole month of Webb’s observing time is devoted to the JWST Advanced Deep Extragalactic Survey, or JADES. JADES will peer deeply into the universe to study some of the faintest and most distant galaxies. Among the program’s first findings: Hundreds of galaxies that existed when the universe was less than 600 million years old, and galaxies that have undergone repeated bursts of star formation."
