title,summary
Webb Captures Top of Iconic Horsehead Nebula in Unprecedented Detail,"Webb’s new view focuses on the illuminated edge of the nebula’s distinctive structure. The Horsehead Nebula is prancing across the cosmic stage in new infrared views from NASA’s James Webb Space Telescope. Extreme close-ups of the horse’s “mane” from Webb’s Near-Infrared Camera (NIRCam) and Mid-Infrared Instrument (MIRI) showcase a dynamic region that transitions from a mostly neutral, warm area of gas and dust within the nebula (represented in blue) to surrounding hot, ionized gas (red). Webb’s observations will allow astronomers to investigate how dust in the nebula blocks and emits light, and to better understand the nebula’s shape."
NASA's Webb Maps Weather on Planet 280 Light-Years Away,"WASP-43 b is cloudy on the nightside and clear on the dayside, with equatorial winds howling around the planet at 5,000 miles per hour. Sometimes not finding something is just as exciting and useful as finding it. Take hot Jupiter WASP-43 b, for example. This tidally locked world has a searing-hot, permanent dayside and a somewhat cooler nightside. Astronomers using Webb to map the temperature and analyze the atmosphere around the planet expected to detect methane, a common carbon molecule, on the nightside. But there is clearly no sign of it. Why? The result suggests that supersonic winds of hot gas are blowing around from the dayside, thoroughly churning up the atmosphere, and preventing the chemical reactions that would otherwise produce methane on the nightside."
NASA's Webb Hints at Possible Atmosphere Surrounding Rocky Exoplanet,"Gas bubbling up from a lava-covered surface on 55 Cancri e may feed an atmosphere rich in carbon dioxide or carbon monoxide. These days, detecting a planetary atmosphere tens or even hundreds of light-years from Earth might not sound like such a big deal. Scientists have found signs of atmosphere surrounding dozens of exoplanets over the past two decades. The catch is, all those planets have thick, hydrogen-dominated atmospheres that are relatively easy to study. The much thinner blankets of gas that almost certainly surround some small, rocky exoplanets have remained elusive. Researchers think they may have finally caught a glimpse of a volatile-rich atmosphere surrounding a rocky planet. Light emitted by the hot, highly-irradiated exoplanet 55 Cancri e shows compelling evidence for an atmosphere, probably rich in carbon dioxide or carbon monoxide, which may be bubbling from a vast ocean of lava covering the planet’s surface. The result is the best evidence to date for a rocky planet atmosphere outside our solar system."
NASA's Webb Cracks Case of Inflated Exoplanet,"A surprising deficiency of methane suggests that tidal heating has puffed up the atmosphere of the warm gas giant WASP-107 b. Why is the warm gas-giant exoplanet WASP-107 b so, so puffy? With a moderate temperature and an ultra-low density on par with a microwaved marshmallow, it seems to defy standard theories of planet formation and evolution. Two independent teams of researchers think they’ve figured it out. Data from Webb, combined with prior observations from Hubble, show that the interior of WASP-107 b must be a lot toastier than previously estimated. The unexpectedly high temperature, which is thought to be caused by tidal forces that stretch the planet like silly putty, can explain how planets like WASP-107 b can be so floofy, possibly solving a long-standing mystery in exoplanet science."
Galaxies Actively Forming in Early Universe Caught Feeding on Cold Gas,"Only Webb can detect and investigate these galaxies, which were forming within dense, opaque gas when the universe was only a few hundred million years old. A team in Denmark examining archival data from the James Webb Space Telescope recently found a trio of distant galaxies that are in the process of gathering gas when the universe was only a few hundred million years old. Their detection and characterization are remarkable achievements that only Webb is currently capable of, thanks to its specialization in infrared light. The data show for the first time that large reservoirs of gas surround these early galaxies. That gas will eventually fall into the galaxies, fueling new star formation, and, over millions of years, lead to highly structured galaxies brimming with stars."
Webb Finds Plethora of Carbon Molecules Around Young Star,"Result provides new insights into the ingredients for planet formation around very low-mass stars. Planets form in disks of gas and dust orbiting young stars. Observations indicate that rocky planets are more likely than gas giants to form around stars much more lightweight than our Sun. However, depending on conditions within the disk, the planets that form there could be very different from Earth. In a new study, astronomers used NASA’s James Webb Space Telescope to study a red dwarf star weighing just one-tenth as much as our Sun. No known planets have formed around this young star yet, which is just one to two million years old. The team found that the gas in the planet-forming region of the star is rich in carbon-bearing molecules. Paradoxically, this means that any rocky planets that form there could be carbon-poor."
NASA's Webb Opens New Window on Supernova Science,"Webb finds 10 times more supernovae in the early universe than known before. NASA’s James Webb Space Telescope is proving to be a fine supernova hunter! With its extreme infrared sensitivity, Webb is finding far-off supernovae almost everywhere it looks. Webb is ideal for identifying extremely distant supernovae because of a phenomenon called cosmological redshift, in which light traveling across the universe is stretched into longer wavelengths. Visible light from ancient supernovae is stretched so much that it ends up in the infrared. Webb’s instruments are tuned to see infrared light, making it ideal for finding these distant supernovae. Using data from a deep Webb survey of the early universe, a team has identified 10 times more far-off supernovae than were previously known. This study is the first significant step toward more extensive surveys of ancient supernovae with Webb."
Investigating the Origins of the Crab Nebula With NASA's Webb,"New data revises our view of this unusual supernova explosion. The Crab Nebula is a nearby example of the debris left behind when a star undergoes a violent death in a supernova explosion. However, despite decades of study, this supernova remnant continues to maintain a degree of mystery: What type of star was responsible for the creation of the Crab Nebula, and what was the nature of the explosion? NASA’s James Webb Space Telescope has provided a new view of the Crab, including the highest-quality infrared data yet available to aid scientists as they explore the detailed structure and chemical composition of the remnant. These clues are helping to unravel the unusual way that the star exploded about 1,000 years ago."
First-of-Its-Kind Detection Made in Striking New Webb Image,"Alignment of bipolar jets confirms star formation theories Some of the greatest, and most interesting, astronomical discoveries have come as a surprise to researchers, even when examining the most well-studied areas of the sky. Often, it’s new technology or chance timing that result in these discoveries. In a new study of the Serpens Nebula with NASA’s James Webb Space Telescope, it’s both. In one region of the nebula, Webb has resolved what previously appeared as blurry blobs into crisp protostellar outflows. And much to researchers’ surprise, those outflows are seen to be aligned, suggesting that we’ve caught this region at a unique moment in its history and providing information into the fundamentals of how stars are born."
Pillars of Creation Star in New Visualization from NASA's Hubble and Webb Telescopes,"The new visualization enables viewers to explore fundamental questions in science, experience how science is done, and discover the universe for themselves. Combining data from NASA's Hubble and James Webb space telescopes, a team from NASA's Universe of Learning at the Space Telescope Science Institute (STScI) in Baltimore, Maryland has produced a breathtaking new 3D visualization of the towering ""Pillars of Creation"" in the Eagle Nebula. This is the most comprehensive, detailed, multiwavelength movie yet of these iconic star-birthing clouds."
NASA's Webb Captures Celestial Fireworks Around Forming Star,"The colors within this mid-infrared image reveal details about the central protostar’s behavior NASA’s James Webb Space Telescope is celebrating U.S. Independence Day with an observation of the protostar, hidden inside the dark molecular cloud L1527 in mid-infrared light, as it evolves. This vibrant new view highlights the behavior of this young object and traces the different concentrations of gas and dust surrounding the protostar."
